Time,i-c1.S,i-c1.E,i-c1.P,i-c1.Iu,i-c1.Ic,i-c1.Ru,i-c1.Rc,i-c1.D,i-c1.cases,i-c1.Phase
252.000000,59943932.583893,5241.679503,1384.385589,9920.801362,10580.262982,234369.798564,224674.723351,31723.764757,250751.774827,3.000000
252.100000,59943827.245894,5216.290309,1377.038726,9861.051680,10573.405724,234462.775721,224774.146330,31736.045617,250850.686696,3.000000
252.200000,59943722.253176,5191.187011,1369.790469,9801.762650,10566.024423,234555.193374,224873.502405,31748.286493,250949.003348,3.000000
252.300000,59943617.605959,5166.362330,1362.638147,9742.934780,10558.128882,234647.055856,224972.786696,31760.487351,251046.729392,3.000000
252.400000,59943513.304416,5141.809219,1355.579174,9684.568309,10549.728806,234738.367502,225071.994413,31772.648161,251143.869441,3.000000
252.500000,59943409.348668,5117.520849,1348.611043,9626.663221,10540.833808,234829.132650,225171.120860,31784.768901,251240.428110,3.000000
252.600000,59943305.738794,5093.490608,1341.731328,9569.219251,10531.453403,234919.355637,225270.161427,31796.849553,251336.410010,3.000000
252.700000,59943202.474825,5069.712088,1334.937676,9512.235908,10521.597007,235009.040794,225369.111596,31808.890106,251431.819752,3.000000
252.800000,59943099.556751,5046.179085,1328.227812,9455.712478,10511.273936,235098.192448,225467.966937,31820.890553,251526.661937,3.000000
252.900000,59942996.984522,5022.885588,1321.599529,9399.648041,10500.493407,235186.814918,225566.723105,31832.850891,251620.941161,3.000000
253.000000,59942894.758045,4999.825771,1315.050690,9344.041479,10489.264533,235274.912514,225665.375842,31844.771125,251714.662008,3.000000
253.100000,59942792.877191,4976.993993,1308.579227,9288.891489,10477.596326,235362.489534,225763.920977,31856.651263,251807.829050,3.000000
253.200000,59942691.341793,4954.384789,1302.183133,9234.196592,10465.497692,235449.550263,225862.354422,31868.491317,251900.446847,3.000000
253.300000,59942590.151648,4931.992861,1295.860468,9179.955143,10452.977436,235536.098971,225960.672170,31880.291303,251992.519940,3.000000
253.400000,59942489.306520,4909.813079,1289.609350,9126.165338,10440.044257,235622.139912,226058.870300,31892.051244,252084.052857,3.000000
253.500000,59942388.806138,4887.840471,1283.427957,9072.825228,10426.706748,235707.677324,226156.944970,31903.771164,252175.050103,3.000000
253.600000,59942288.650202,4866.070219,1277.314524,9019.932725,10412.973397,235792.715422,226254.892419,31915.451092,252265.516165,3.000000
253.700000,59942188.838378,4844.497655,1271.267340,8967.485610,10398.852585,235877.258406,226352.708965,31927.091062,252355.455509,3.000000
253.800000,59942089.370305,4823.118254,1265.284749,8915.481538,10384.352589,235961.310449,226450.391004,31938.691110,252444.872577,3.000000
253.900000,59941990.245593,4801.927633,1259.365147,8863.918054,10369.481579,236044.875707,226547.935011,31950.251276,252533.771787,3.000000
254.000000,59941891.463823,4780.921542,1253.506977,8812.792593,10354.247618,236127.958308,226645.337536,31961.771603,252622.157532,3.000000
254.100000,59941793.024552,4760.095864,1247.708735,8762.102488,10338.658663,236210.562357,226742.595203,31973.252138,252710.034181,3.000000
254.200000,59941694.927311,4739.446607,1241.968960,8711.844979,10322.722565,236292.691934,226839.704712,31984.692931,252797.406072,3.000000
